Customer,Demand,Scaled_Demand
V555555555555555555_17,266457,49.66910232381554
V555555555555555555_42,470632,87.72848513967338
V555555555555555555_45,116136,21.648411816835893
V555555555555555555_46,12080,2.2517807979212097
V555555555555555_23,375,0.06990213569705742
V555555555555555_29,1054980,196.65428031381768
V555555555555555_44,15125,2.819386139781315
V55555555555555_8,877824,163.63139297635658
V5555555555555_16,3434,0.6401171572898536
V555555555555_31,435868,81.24827755201338
V55555555555_28,5293676,986.7713549020162
V5555555555_1,6441,1.200639082732658
V555555555_14,817338,152.35645809696402
V555555555_27,700796,130.63236556788013
V555555555_3,75171,14.01230251328934
V555555555_35,4512,0.8410624967069947
V55555555_0,64298,11.985513389465059
V55555555_32,1914858,356.9404366842559
V55555555_5,8020417,1495.0514066159628
V55555555_7,927068,172.810755030399
V55555555_9,5091,0.9489913942232515
V5555555_12,84110,15.678583022611996
V5555555_19,221362,41.263137499125385
V5555555_22,580326,108.17607146808143
V5555555_30,299830,55.89001958946326
V555555_11,6030,1.1240263420086831
V555555_24,96177,17.92794054649571
V555555_34,6411,1.1950469118768936
V555555_40,13072,2.436695247551825
V555555_6,1220461,227.50088115991034
V55555_10,6512,1.2138738870913008
V55555_2,1512452,281.92966650476234
V55555_26,1909058,355.8592836521414
V55555_4,412940,76.9743677726477
V55555_53,232681,43.37306356300538
V5555_20,56705,10.570134945871041
V5555_25,48045,8.955861625506996
V5555_33,241796,45.07215147468185
V5555_36,931678,173.67008528523482
V5555_38,52801,9.842407111840876
V555_15,98650,18.388921830705904
V555_41,201107,37.48749014300833
V55_13,93382,17.40693662843364
V55_37,2182,0.406737226909278
V55_39,100246,18.68642532023258
V55_47,2724,0.507769113703425
